,compound,neutral,negative,positive
373,-0.8591,0.855,0.108,0.037
374,-0.4588,0.843,0.102,0.055
375,-0.6369,0.861,0.098,0.04
376,-0.7506,0.776,0.149,0.074
377,-0.6767,0.875,0.09,0.035
378,0.2824,0.89,0.049,0.061
379,-0.7669,0.825,0.131,0.044
380,-0.4836,0.875,0.069,0.057
381,0.9696,0.854,0.035,0.111
382,0.9907,0.755,0.066,0.179
383,-0.7269,0.876,0.103,0.021
384,0.2263,0.859,0.078,0.063
385,-0.7998,0.857,0.143,0.0
386,-0.2975,0.835,0.094,0.071
387,0.5095,0.85,0.06,0.09
388,0.8235,0.863,0.05,0.087
389,0.9992,0.778,0.041,0.182
390,0.9983,0.764,0.044,0.192
391,-0.8271,0.86,0.14,0.0
392,0.4858,0.867,0.061,0.072
393,0.9961,0.75,0.078,0.171
394,-0.5562,0.823,0.119,0.059
395,0.9961,0.749,0.078,0.173
396,-0.7783,0.816,0.184,0.0
397,0.0,0.83,0.09,0.08
398,-0.9094,0.893,0.068,0.039
399,0.9575,0.817,0.068,0.115
400,0.9907,0.826,0.032,0.142
401,0.5499,0.865,0.062,0.073
402,-0.6868,0.848,0.102,0.05
403,-0.128,0.888,0.061,0.051
404,-0.7783,0.842,0.158,0.0
405,-0.3182,0.894,0.057,0.049
406,0.9976,0.782,0.082,0.136
407,-0.5106,0.834,0.11,0.056
408,-0.8271,0.834,0.128,0.038
409,0.9988,0.705,0.117,0.178
410,0.659,0.813,0.079,0.108
411,-0.1154,0.897,0.056,0.047
412,-0.7184,0.812,0.135,0.053
413,-0.7525,0.844,0.113,0.042
414,-0.5726,0.859,0.079,0.061
415,-0.7783,0.848,0.152,0.0
416,-0.7783,0.903,0.097,0.0
417,0.6597,0.763,0.095,0.142
418,-0.6705,0.842,0.126,0.033
419,-0.5574,0.803,0.144,0.052
420,0.9561,0.852,0.048,0.1
421,0.0093,0.83,0.082,0.089
422,-0.1531,0.832,0.087,0.081
423,0.3164,0.816,0.086,0.098
424,0.3164,0.816,0.086,0.098
425,0.2481,0.81,0.097,0.093
426,0.9987,0.821,0.039,0.14
427,-0.7783,0.83,0.17,0.0
428,-0.8205,0.853,0.109,0.038
429,0.9902,0.77,0.093,0.138
430,-0.6956,0.928,0.053,0.019
431,0.4329,0.863,0.063,0.074
432,-0.2124,0.835,0.092,0.073
433,-0.6705,0.87,0.103,0.027
434,-0.8089,0.867,0.099,0.034
435,-0.8442,0.83,0.124,0.046
436,-0.8689,0.806,0.153,0.042
437,-0.34,0.782,0.135,0.083
438,0.6588,0.796,0.081,0.122
439,-0.7998,0.837,0.163,0.0
440,-0.7351,0.885,0.089,0.026
441,0.9787,0.785,0.049,0.166
442,0.7782,0.78,0.101,0.119
443,-0.4588,0.815,0.12,0.065
444,-0.4767,0.886,0.069,0.045
445,-0.1111,0.862,0.065,0.073
446,0.5052,0.871,0.051,0.078
447,0.9797,0.785,0.1,0.115
448,-0.8018,0.9,0.063,0.037
449,-0.4939,0.807,0.127,0.066
450,-0.8402,0.849,0.151,0.0
451,-0.6249,0.823,0.125,0.052
452,-0.4404,0.795,0.132,0.073
453,-0.5106,0.849,0.1,0.051
454,0.6808,0.838,0.064,0.098
455,0.1531,0.858,0.065,0.077
456,-0.34,0.878,0.071,0.052
457,0.5473,0.852,0.061,0.086
458,-0.9581,0.92,0.071,0.009
459,-0.9023,0.873,0.097,0.03
460,0.991,0.804,0.066,0.13
461,0.9962,0.774,0.06,0.166
462,-0.5927,0.898,0.077,0.026
463,-0.985,0.795,0.157,0.048
464,0.9976,0.825,0.047,0.128
465,0.5994,0.791,0.078,0.131
466,-0.3612,0.788,0.133,0.079
467,-0.8095,0.869,0.131,0.0
468,-0.4023,0.885,0.069,0.046
469,-0.6369,0.863,0.096,0.041
470,-0.7906,0.869,0.102,0.029
471,0.8818,0.783,0.093,0.124
472,-0.1532,0.82,0.091,0.089
473,0.9014,0.796,0.07,0.134
474,0.9475,0.811,0.057,0.132
475,-0.6486,0.821,0.139,0.039
476,0.4215,0.83,0.074,0.096
477,-0.7579,0.817,0.16,0.024
478,-0.7579,0.826,0.151,0.022
479,-0.9324,0.836,0.11,0.053
480,-0.7269,0.862,0.099,0.04
481,0.98,0.81,0.038,0.152
482,-0.8943,0.84,0.16,0.0
483,-0.4215,0.81,0.121,0.069
484,-0.2263,0.834,0.093,0.073
485,-0.7783,0.842,0.158,0.0
486,-0.1531,0.802,0.109,0.089
487,-0.7906,0.791,0.129,0.08
488,-0.3184,0.77,0.123,0.106
489,-0.3182,0.878,0.07,0.052
490,-0.9158,0.776,0.159,0.065
491,0.676,0.843,0.07,0.087
492,-0.4019,0.817,0.116,0.067
493,-0.5106,0.853,0.097,0.05
494,-0.6705,0.868,0.105,0.027
495,-0.5719,0.849,0.096,0.055
496,-0.5106,0.805,0.129,0.066
497,-0.7998,0.869,0.131,0.0
498,0.4215,0.806,0.08,0.114
499,-0.4215,0.88,0.067,0.053
500,-0.7783,0.868,0.132,0.0
501,0.4554,0.813,0.087,0.1
502,-0.5106,0.821,0.118,0.061
503,-0.4784,0.873,0.076,0.05
504,-0.7783,0.855,0.145,0.0
505,-0.7783,0.82,0.18,0.0
506,-0.7717,0.84,0.142,0.018
507,0.4256,0.807,0.092,0.101
508,0.9863,0.827,0.058,0.115
509,-0.6705,0.818,0.144,0.038
510,0.9208,0.718,0.117,0.165
511,0.9899,0.779,0.054,0.167
512,0.9897,0.796,0.06,0.144
513,-0.3468,0.873,0.077,0.05
514,-0.7783,0.833,0.167,0.0
515,0.0258,0.826,0.082,0.092
516,-0.3013,0.833,0.093,0.074
517,-0.4767,0.838,0.105,0.056
518,0.7715,0.805,0.083,0.112
519,0.8795,0.82,0.069,0.111
520,0.4779,0.819,0.08,0.101
521,-0.4588,0.852,0.096,0.052
522,-0.7184,0.802,0.164,0.034
523,0.6705,0.85,0.057,0.093
524,0.8902,0.875,0.056,0.069
525,0.9105,0.876,0.055,0.07
526,0.5709,0.866,0.068,0.065
527,0.8687,0.872,0.06,0.069
528,0.9632,0.755,0.063,0.183
529,0.9183,0.713,0.097,0.19
530,-0.7783,0.91,0.064,0.025
531,0.3911,0.863,0.06,0.076
532,0.34,0.771,0.106,0.123
533,0.1179,0.772,0.111,0.117
534,-0.6305,0.847,0.089,0.064
535,-0.5106,0.836,0.108,0.055
536,-0.9535,0.754,0.217,0.029
537,-0.9098,0.77,0.157,0.073
538,-0.9429,0.883,0.096,0.021
539,-0.6705,0.927,0.057,0.015
540,0.8513,0.849,0.059,0.092
541,0.1531,0.872,0.062,0.066
542,-0.2732,0.878,0.069,0.053
543,-0.5106,0.893,0.071,0.036
544,-0.5844,0.896,0.058,0.047
545,-0.6746,0.895,0.063,0.043
546,-0.5722,0.903,0.058,0.038
547,-0.2173,0.879,0.066,0.054
548,0.0258,0.904,0.045,0.051
549,-0.6808,0.833,0.133,0.033
550,0.953,0.901,0.045,0.054
551,-0.9972,0.829,0.127,0.044
552,0.4215,0.758,0.122,0.12
553,-0.4588,0.833,0.108,0.059
554,-0.6594,0.891,0.078,0.032
555,0.2614,0.915,0.046,0.038
556,0.6007,0.874,0.054,0.072
557,-0.6486,0.848,0.118,0.034
558,-0.7783,0.86,0.14,0.0
559,-0.989,0.825,0.102,0.073
560,-0.9861,0.835,0.095,0.069
561,-0.7783,0.85,0.15,0.0
562,-0.5204,0.911,0.058,0.031
563,-0.296,0.896,0.059,0.044
564,-0.6041,0.906,0.065,0.029
565,0.1531,0.783,0.111,0.106
566,0.9719,0.809,0.058,0.133
567,0.0202,0.809,0.095,0.096
568,0.9957,0.798,0.083,0.119
